ID,Latitude,Longitude,Dotter,Dotter'sColonyNumber,ColonyName,Habitat,Oil,Notes,AdditionalNotes
5,"29.6873","-89.4646","PJC","10","Biloxi South 1",,"N","BLSK colony in early stages; roosting FOTE; birds detected/counted only on the beach, nothing on grass/marsh",
6,"29.3341","-89.8716","PJC","11","Cat Bay South Island","marsh/grass island w. taller grass;some bare areas","N","WHIB count good, TRHE and LAGU site counts likely low; TRHE on eggs, but little if any egg-laying yet for WHIB and LAGU; several hundred additional LAGU on water not counted",
7,"29.5247","-89.5726","PJC","12","Biloxi South 11","shrubs","N","coverage ~ 90%",
8,"29.5021","-89.5356","PJC","14","Long Bay Island","large marsh/grass island","N","WHIB count good, TRHE and LAGU site counts likely low; coverage ~ 80%; some small beaches that looked like good tern habitat missed; LAGU still pairing up",
9,"29.8494","-93.3830","PJC","17","Rabbit Island","huge marsh/grass island w. ponds & open water","N","BRPE estimate good; most conspicuous groups of white waders counted, but some missed and much surface area of island not counted; TRHE/LAGU coverage no doubt low, but hard to quantify how low",
2,"29.8166","-89.3095","KKN","2","Biloxi North 30 B",,"N","mostly vegetated with some open sand; BLSK, FOTE dominant, some BRPE roost",
3,"29.8191","-89.3103","KKN","3","Biloxi North 30 A",,"N","mostly vegetated with some open sand: FOTE, LAGU",
4,"29.7630","-89.2851","KKN","4","Biloxi North 32",,"N","open tip of vegetated point; area boomed; birds roosting; SATE, LAGU, ROYT",
5,"29.7411","-89.3568","KKN","5","Deadman Point",,"N","mostly vegetated, some open shore areas and pond areas; LAGU and BRPE dominant; screen capture for area 07 is missing but count is in database (<10 gulls)",
6,"29.7439","-89.4532","KKN","6","Biloxi North 34",,"N","man-made structure and pilings",
7,"29.9059","-89.2954","KKN","7","Biloxi North 25",,"N","vegetated with some open shore; FOTE, LAGU and TRHE",
8,"29.8979","-89.3010","KKN","8","Biloxi North 26",,"N","mostly vegetated; TRHE",
9,"29.8920","-89.3273","KKN","9","Anderson Point Island",,"N","water channel in marsh",
10,"29.8283","-89.3191","KKN","10","White Log Lake Islands",,"N","water channel in marsh",
11,"29.8426","-89.3064","KKN","11","Dry Bread Island",,"N","vegetated with some open shore, channels; waders in interior areas; lots TRHE; gulls/terns roosting on shore",
12,"29.8043","-89.2815","KKN","12","Biloxi North 31",,"N","mostly vegetetaed with some open shore and ponds; FOTE dominant",
13,"29.9197","-89.2627","KKN","13","Drum Bay Island",,"N","mostly vegetated; waders dominate (TRHE, WHIB, GREG)",
14,"29.9813","-89.2574","KKN","14","Biloxi North 18",,"N","bare tip of vegetated spit; BRPE roost",
15,"29.9751","-89.2762","KKN","15","Biloxi North 17",,"N","shallow/ wet marsh; gull and tern roost",
16,"29.9984","-89.2924","KKN","16","Biloxi North 16",,"N","shrub and grass; wader colony in shrubs (mostly WHIB)",
17,"29.4955","-89.1742","KKN","17","Breton Island",,"N","Breton Island low vegetation and dry areas, sand spits BRPE and terns dominant; 3 major areas (1. man made marshy/ dry ground enclosure 2. large open sand/dune 3.mix of sand and vegetated higher ground/ sand spits and open sand with tern colony",
18,"30.0271","-89.2796","KKN","18","Biloxi North 12",,"N","very small; mostly vegetated with small open sand areas",
19,"29.9628","-89.3156","KKN","19","Little Mud Grass Island Northeast",,"N","vegetated with some open edges and wet/ shallow mudflat tern roosts",
20,"29.9590","-89.1984","KKN","20","Martin Island",,"N","vegetated with wide open sand edge; BLSK colony, LAGU and some BRPE, ROSA",
21,"29.9220","-89.3156","KKN","21","Hell Pass Coast",,"N","exposed rock roost, also mostly vegetated main island with sandy/rocky open edge",
22,"29.9168","-89.4183","KKN","22","Biloxi North 28",,"N","vegeated small island with ponds; FOTE dominant",
