Year,Date,ColonyName,Dotter,Habitat,Oil,SpeciesCode,ActiveMayJune?,CombineMayJuneData?,Notes,AdditionalNotes
"2011","05/19/11 00:00:00","Chandeleur North G","MWP","barrier island","N",,,"N","flew by but no photos taken; assume no birds were seen",
"2021","06/17/21 00:00:00","Biloxi South 17","PJC","submerged","N",,,"N",,
"2021","06/17/21 00:00:00","Biloxi South 2","PJC","marsh island","N",,,"N","No birds in May or June; seemingly suitable habitat remained",
"2021","06/17/21 00:00:00","Biloxi South 11","PJC","marsh island","N",,,"N","no birds at all in May and June",
"2021","06/17/21 00:00:00","Biloxi South 15","PJC","marsh island","N",,,"N","no birds at all in May and June",
"2021","06/18/21 00:00:00","Bayou Platte Island North","EAM","spoil island","N","BLSK/GBTE","Active Both Months","N","more birds present in May but pre-breeding; birds on sites in June",
"2021","06/18/21 00:00:00","Bayou Platte Island North","EAM","spoil island","N","LAGU","Active Both Months","N","few birds, complete coverage",
"2021","06/18/21 00:00:00","Skimmer Island","PJC","large, muddy, grassy, spoil island","N",,,"N","just a couple roosting GBTE in May",
"2021","06/18/21 00:00:00","T-Pat Island","PJC","large, grassy, spoil island","N",,,"N","just a large WHIB foraging group in May",
"2021","06/18/21 00:00:00","Avocet Island","PJC","large, grassy, spoil island","N",,,"N","just some foraging WHIB in May",
"2021","06/18/21 00:00:00","Bayou Platte Island South","EAM","spoil island","N","BLSK/GBTE/LAGU","Active Both Months","N","More birds in May but June representative of colony size. Complete coverage.",
"2021","05/20/21 00:00:00","Bayou Platte Island South","EAM","spoil island","N","FOTE","Abandoned by June","N",,
"2021","05/20/21 00:00:00","Southwest Pass Islands 1","EAM","remnant shrubs from marsh island","N","GREG","Active Both Months","N","Only 2 nests left in June, others likely submerged",
"2021","06/14/21 00:00:00","Carrabelle","PJC","trees","N",,,"N","no birds detected either month",
"2021","06/14/21 00:00:00","Dog Island East","PJC","beach","N",,,"N","no BLSK/LETE detected either month; no Cam 1 photos either month",
"2021","06/14/21 00:00:00","Ballast Cove Beach","PJC","beach","N",,,"N","no BLSK/LETE detected either month; no Cam 1 photos either month",
"2021","06/14/21 00:00:00","Little Saint George Island","PJC","beach","N",,,"N","no BLSK/LETE detected either month; no Cam 1 photos either month",
"2021","06/18/21 00:00:00","Bay Chaland Island","PJC","marsh island","N",,,"N","submerged in May, no birds in June; FOTE habitat",
"2021","06/17/21 00:00:00","Biloxi South 20","PJC","marsh island","N","FOTE/LAGU","Active Both Months","N","Incubating in June; complete coverage",
"2021","05/23/21 00:00:00","Biloxi South 3","PJC","marsh island","N","SNEG/TRHE","Abandoned by June","N","Just a few birds in territorial spacing; no birds in June; large colony of waders in all previous survey years; and gulls too in certain years",
"2021","06/17/21 00:00:00","Scofield Island","PJC","barrier island","N",,,"N","roosting birds along the shoreline in both mos; no birds in breeding habitat",
"2021","06/18/21 00:00:00","Point Hunt Island","PJC","shrubs, trees","N",,,"N","no birds in June; a small AWPE, BRPE, corm roost and 6 foraging SNEG/GREG in May",
