ID,Year,Date,State,GeoRegion,ColonyName,Latitude,Longitude,SpeciesCode,Nests,Birds,Notes,BestForBPE?,CombinedMayJuneTotal?
2290,2012,"05/29/12 00:00:00","MS","Mississippi Sound Gulf Islands","Ship Island East",30.21912,-88.92156,"BLSK",107,219,,"Y","N"
2408,2012,"05/29/12 00:00:00","MS","Mississippi Sound Gulf Islands","Ship Island East",30.21912,-88.92156,"GBTE",18,20,,"Y","N"
4542,2021,"05/18/21 00:00:00","TX","Galveston","North Deer Island",29.28519,-94.92462,"LAGU",27074,33200,,"Y","Y"
2692,2013,"05/23/13 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"SATE",21550,22702,,"Y","N"
4065,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"SATE",17655,18780,,"Y","N"
1501,2011,"06/15/11 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North F",29.881806,-88.828345,"SATE",17426,19611,,"Y","Y"
4066,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"LAGU",17306,24239,,"Y","N"
4543,2021,"06/17/21 00:00:00","LA","Birdsfoot East","Gunn Island",29.4136,-89.2957,"ROYT",16646,17392,,"Y","N"
1502,2011,"05/17/11 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"SATE",16579,17756,,"Y","Y"
4067,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"ROYT",16177,18008,,"Y","N"
4544,2021,"06/17/21 00:00:00","LA","Birdsfoot East","Gunn Island",29.4136,-89.2957,"SATE",16050,16415,,"Y","N"
1503,2011,"05/17/11 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"LAGU",15430,27124,,"Y","N"
3340,2015,"06/21/15 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur South C",29.780414,-88.87419199999999,"SATE",14951,16565,,"Y","Y"
2693,2013,"05/23/13 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"ROYT",14729,15245,,"Y","N"
3341,2015,"05/17/15 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"SATE",14089,14806,,"Y","Y"
4545,2021,"05/22/21 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"ROYT",13643,13917,,"Y","Y"
3342,2015,"05/17/15 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"ROYT",12993,13308,,"Y","Y"
1504,2011,"05/17/11 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"ROYT",12849,14896,,"Y","Y"
4546,2021,"05/22/21 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"LAGU",12574,15533,,"Y","N"
1505,2011,"05/20/11 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"WHIB",12511,13383,,"Y","N"
27,2010,"06/14/10 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"SATE",12371,12848,,"Y","N"
1506,2011,"05/17/11 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"LAGU",12060,18537,,"Y","N"
4068,2018,"05/20/18 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur South C",29.780414,-88.87419199999999,"SATE",11921,12923,,"Y","N"
2135,2012,"05/27/12 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"LAGU",11757,17409,,"Y","N"
28,2010,"05/17/10 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"SATE",11485,11809,,"Y","N"
29,2010,"05/17/10 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"ROYT",11434,11603,,"Y","N"
2136,2012,"05/29/12 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"ROYT",10966,11195,,"Y","N"
4069,2018,"05/20/18 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"ROYT",10903,10963,,"Y","N"
4547,2021,"06/16/21 00:00:00","LA","Breton-Chandeleur Islands","Curlew Island",29.66636,-88.96111999999999,"SATE",10805,11551,,"Y","N"
1507,2011,"05/17/11 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"LAGU",10626,19513,,"Y","N"
