ColonyID,ActiveInventory,ColonyGroupBuffer,ColonyName,State,Longitude,Latitude,PrimaryHabitat,LandForm,GeoRegion,ExtrapArea,TerrestEcoRegion,MarineEcoRegion,FormerNames,OrigDotterID,NOTES August 2022
"H_3RK","No","3 Rooker Key","3 Rooker Key","FL",-82.839,28.1138,,,"Tampa Bay","South Florida","Southwestern Florida Flatwoods","Eastern Gulf Neritic",,"3 Rooker Key","Anclote Key State Preserve; surveyed 2010 only."
"ALP","Yes","Alligator Point","Alligator Point","FL",-84.44167,29.91544,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","PP19Colony01",,
"API","Yes","Anderson Point Island","Anderson Point Island","LA",-89.32729999999999,29.892,"Herbaceous marsh",,"Biloxi North","Coastal Marshes","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","Biloxi North 39","KKN9",
"CG_ABI","Yes","Apalachicola Bird Island","Apalachicola Bird Island","FL",-84.975398,29.714977,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","NA",,"ColonyGroupBuffer centroid location coordinates."
"ABI_A","Yes","Apalachicola Bird Island","Apalachicola Bird Island A","FL",-84.97580000000001,29.71577,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","None",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"ABI_B","Yes","Apalachicola Bird Island","Apalachicola Bird Island B","FL",-84.97521,29.71424,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","None",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"ABI_C","Yes","Apalachicola Bird Island","Apalachicola Bird Island C","FL",-84.97490000000001,29.7143,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","ApalachicolaEast_4","KMR6",
"CG_AC","No","Arcadia Reef","Arcadia Reef","TX",-95.20228,29.02843,,,"Galveston","Mid-Upper Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","NA",,"ColonyGroupBuffer centroid location coordinates.  Centroid coordinates represent center of Arcadia Reef colonies as depicted in TCWB database."
"H_AC_A","No","Arcadia Reef","Arcadia Reef A","TX",-95.2024,29.0293,,,"Galveston","Mid-Upper Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","TexasCoast_16","WAW6","TCWB - active 2005"
"H_AC_B","No","Arcadia Reef","Arcadia Reef B","TX",-95.2008,29.0293,,,"Galveston","Mid-Upper Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","TexasCoast_15","WAW7","TCWB - active 2005"
"CG_ACS","Yes","Arroyo Colorado Spoils","Arroyo Colorado Spoils","TX",-97.31473099999999,26.329042,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","NA",,"ColonyGroupBuffer centroid location coordinates.  Centroid coordinates same as ACS_B1."
"ACS_A","Yes","Arroyo Colorado Spoils","Arroyo Colorado Spoils A","TX",-97.32147999999999,26.36267,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","The Y aka Arroyo Colorado Spoil - A",,"Name still current in TCWB database."
"ACS_B1","Yes","Arroyo Colorado Spoils","Arroyo Colorado Spoils B1","TX",-97.31473099999999,26.329042,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","Arroyo Colorado Spoil - B, TCWB",,"Former name is current in TCWB database but includes several small spoil islands - those dotted separately within ACS_B also given number labels."
"ACS_B2","Yes","Arroyo Colorado Spoils","Arroyo Colorado Spoils B2","TX",-97.31019999999999,26.318883,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","Arroyo Colorado Spoil - B, TCWB",,"Former name is current in TCWB database but includes several small spoil islands - those dotted separately within ACS_B also given number labels."
"ACS_C","Yes","Arroyo Colorado Spoils","Arroyo Colorado Spoils C","TX",-97.31244,26.29922,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","None",,
"ACS_D","Yes","Arroyo Colorado Spoils","Arroyo Colorado Spoils D","TX",-97.29015,26.28909,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","None",,
"AUDI","Yes","Audubon Island","Audubon Island","FL",-85.7353,30.17688,,,"Apalachicola West","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","None",,
"AVE","Yes","Aves Island","Aves Island","LA",-91.41448200000001,29.360459,"Grass marsh, wet",,"Atchafalaya Bay","Coastal Marshes","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None",,
"AVI","Yes","Avocet Island","Avocet Island","LA",-91.363845,29.407242,"Grassy mixed marsh",,"Atchafalaya Bay","Coastal Marshes","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","VermilionBay_4",,
"BG_A","Yes","Bahia Grande Bird Islands","Bahia Grande A","TX",-97.315904,26.040313,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","618-250 Bahia Grande",,
"BG_B","Yes","Bahia Grande Bird Islands","Bahia Grande B","TX",-97.30609,26.044,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","618-250 Bahia Grande",,
"CG_BGBI","Yes","Bahia Grande Bird Islands","Bahia Grande Bird Islands","TX",-97.302707,26.039095,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","NA",,"ColonyGroupBuffer centroid location coordinates. "
"BG_CC","Yes","Bahia Grande Bird Islands","Bahia Grande C Central","TX",-97.28825500000001,26.038968,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","618-250 Bahia Grande",,"Considered Bahia Grande - Bird Island - C in TCWB database."
"BG_CE","Yes","Bahia Grande Bird Islands","Bahia Grande C East","TX",-97.28154000000001,26.04147,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","618-250 Bahia Grande",,"Considered Bahia Grande - Bird Island - C in TCWB database."
"BG_CW","Yes","Bahia Grande Bird Islands","Bahia Grande C West","TX",-97.304354,26.034567,,,"Lower Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","618-250 Bahia Grande",,"Considered Bahia Grande - Bird Island - C in TCWB database."
"CG_BCB","Yes","Ballast Cove Beach","Ballast Cove Beach","FL",-84.629985,29.788245,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","NA",,"ColonyGroupBuffer centroid location coordinates."
"BCB_A","Yes","Ballast Cove Beach","Ballast Cove Beach A","FL",-84.62918999999999,29.78857,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","MN19LETE1",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"BCB_B","Yes","Ballast Cove Beach","Ballast Cove Beach B","FL",-84.63078,29.78792,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","DO18COL07",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
"H_BB_10","No","Barataria Bay 10","Barataria Bay 10","LA",-90.16500000000001,29.1181,"Sand, wet",,"Barataria Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None","SLF42","No nests; inactive but shoreline habitat."
"BB_12","Yes","Barataria Bay 12","Barataria Bay 12","LA",-90.0147,29.4323,"Grassy marsh",,"Barataria Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None",,
"S_BB_13","No","Barataria Bay 13","Barataria Bay 13","LA",-89.871357,29.321881,"Shrub marsh",,"Barataria Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None","SLF49","Extant in 2016; submerged by 2018."
"S_BB_3","No","Barataria Bay 3","Barataria Bay 3","LA",-89.8023,29.3427,,,"Barataria Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","Heron Island; Grand Isle #101","PJC79","Most island apprears tidally inundated 2015; gone by late 2016."
"H_BB_4","No","Barataria Bay 4","Barataria Bay 4","LA",-89.8319,29.3261,,,"Barataria Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None","MWP11","Inactive - island still extant 2021, relatively large area of suitable habitat."
"S_BB_5","Yes","Barataria Bay 5","Barataria Bay 5 AB","LA",-90.03893600000001,29.312443,,,"Barataria Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None","PJC75, PAG12","Submerged 2019."
