AutoID,Year,Date,ColonyName,Latitude,Longitude,DottingAreaNumber,CameraNumber,CardNumber,PhotoNumber,PQ,SpeciesCode,WBN,ChickNestw/outAdult,AbandNest,EmptyNest,PBN,Site,Brood,OtherAdultsInColony,OtherImmInColony,Chicks/Nestlings,RoostingBirds,RoostingAdults,RoostingImmatures,UnknownAge,Dotter,Dotter'sColonyNumber,DateDotted,Notes
1617,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","1","1","1","0003","E","BRPE",0,0,0,0,0,0,0,14,22,0,0,0,0,0,"KMR","11","03/14/11 00:00:00","3 IMM BRPE added in from camera 1 card 1 0002; entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1618,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","1","1","1","0003","E","LAGU",0,0,0,0,0,0,5,12,0,0,0,0,0,0,"KMR","11","03/14/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1619,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","1","1","1","0003","E","ROYT",0,0,0,0,0,4,21,32,0,0,0,0,0,0,"KMR","11","03/14/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1620,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","2","1","1","0007","E","LAGU",0,0,0,0,0,26,18,45,0,0,0,0,0,0,"KMR","11","03/14/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1621,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","2","1","1","0007","E","ROYT",0,0,0,0,0,42,20,87,0,0,0,0,0,0,"KMR","11","03/14/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1622,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","2","1","1","0007","E","BLSK",0,0,0,0,0,44,0,7,0,0,0,0,0,0,"KMR","11","03/14/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1623,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","2","1","1","0007","E","SOTE",0,0,0,0,0,4,0,0,0,0,0,0,0,0,"KMR","11","03/14/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
75,2010,"05/07/10 00:00:00","Biloxi North 32","29.7630","-89.2851","01","1","1","0827","E","ROSA",0,0,0,0,0,0,0,6,0,0,0,0,0,0,"KKN","004","10/25/10 00:00:00","Dotted as Sites; Changed to Birds here by PJC 12/21/22 per Sept 2014 RGFord Excel file"
79,2010,"05/07/10 00:00:00","Biloxi North 32","29.7630","-89.2851","01","1","1","0827","E","SATE",0,0,0,0,0,0,0,45,0,0,0,0,0,0,"KKN","004","10/25/10 00:00:00","Dotted as Sites; Changed to Birds here by PJC 12/21/22 per Sept 2014 RGFord Excel file"
1643,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","10","1","1","0028","E","LAGU",0,0,0,0,0,0,3,20,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1644,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","10","1","1","0028","E","BRPE",0,0,0,0,0,0,0,3,5,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
