AutoID,Year,Date,ColonyName,DottingAreaNumber,CameraNumber,CardNumber,PhotoNumber,PQ,SpeciesCode,WBN,ChickNestw/outAdult,AbandNest,EmptyNest,PBN,Site,Brood,OtherAdultsInColony,OtherImmInColony,Chicks/Nestlings,RoostingBirds,RoostingAdults,RoostingImmatures,UnknownAge,Dotter,DateDotted,BestForBPE?,Notes,AdditionalNotes
,2011,"05/19/11 00:00:00","Half Moon Island","1","1","7","746","E","FOTE",0,0,0,0,0,8,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","1","1","7","746","E","TRHE",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","2","1","7","748","E","FOTE",0,0,0,0,0,18,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","3","1","7","749","E","FOTE",0,0,0,0,0,26,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","4","1","7","751","E","FOTE",0,0,0,0,0,6,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","5","1","7","1012","E","FOTE",0,0,0,0,0,7,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","6","2","6","361","P","FOTE",0,0,0,0,0,85,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y","Had to dot a large colony of FOTE here, with poor resolution.  Was conservative and didn't dot each visible bird in case they were not all incubating.",
,2011,"05/19/11 00:00:00","Half Moon Island","7","2","6","438","E","TRHE",0,4,0,0,0,11,0,0,0,8,0,0,0,0,"SLF","10/19/13 00:00:00","Y","Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","7","2","6","438","E","SNEG",0,0,0,0,0,3,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","7","2","6","438","E","WHEG",0,2,0,0,0,0,0,0,0,4,0,0,0,0,"SLF","10/19/13 00:00:00","Y","Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","8","2","6","432","E","TRHE",0,0,0,0,0,12,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","8","2","6","432","E","SNEG",0,0,0,0,0,3,0,0,0,0,0,0,0,0,"SLF","10/19/13 00:00:00","Y",,
,2011,"05/19/11 00:00:00","Half Moon Island","9","2","6","429","E","TRHE",0,3,0,0,0,6,0,0,0,6,0,0,0,0,"SLF","10/19/13 00:00:00","Y","Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","9","2","6","429","E","SNEG",0,8,0,0,0,12,0,0,0,16,0,0,0,0,"SLF","10/19/13 00:00:00","Y","Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","10","2","6","426","E","TRHE",0,11,0,0,0,16,0,0,0,22,0,0,0,0,"SLF","10/19/13 00:00:00","Y","WHIB present, not dotted. Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","10","2","6","426","E","SNEG",0,17,0,0,0,23,0,0,0,34,0,0,0,0,"SLF","10/19/13 00:00:00","Y","WHIB present, not dotted. Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","11","2","6","422","E","TRHE",0,12,0,0,0,21,0,0,0,24,0,0,0,0,"SLF","10/21/13 00:00:00","Y","WHIB present, not dotted. Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","11","2","6","422","E","SNEG",0,5,0,0,0,15,0,0,0,10,0,0,0,0,"SLF","10/21/13 00:00:00","Y","WHIB present, not dotted. Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","12","1","7","841","E","TRHE",0,16,0,0,0,18,0,0,0,32,0,0,0,0,"SLF","10/21/13 00:00:00","Y","Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","12","1","7","841","E","SNEG",0,5,0,0,0,19,0,0,0,10,0,0,0,0,"SLF","10/21/13 00:00:00","Y","Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","13","2","6","401","E","TRHE",0,28,0,0,0,35,0,0,0,56,0,0,0,0,"SLF","10/21/13 00:00:00","Y","WHIB present, not dotted. Oil visible. Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","13","2","6","401","E","SNEG",0,22,0,0,0,26,0,0,0,44,0,0,0,0,"SLF","10/21/13 00:00:00","Y","WHIB present, not dotted. Oil visible. Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","14","1","7","884","E","TRHE",0,11,0,0,0,13,0,0,0,22,0,0,0,0,"SLF","10/21/13 00:00:00","Y","Oil visible. Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
,2011,"05/19/11 00:00:00","Half Moon Island","14","1","7","884","E","SNEG",0,5,0,0,0,3,0,0,0,10,0,0,0,0,"SLF","10/21/13 00:00:00","Y","Oil visible. Chicks estimated not by dotting, but by multiplying the average number of chicks per nest (2) by the number of chick nests w/o adult.  This will be a low estimate.",
