AutoID,Year,Date,ColonyName,Subcolony,DottingAreaNumber,CameraNumber,CardNumber,PhotoNumber,PQ,SpeciesCode,WBN,ChickNest,ChickNestw/outAdult,Brood,AbandNest,EmptyNest,PBN,Territory,Site,OtherBirds,Dotter,DateDotted,BestForBPE?,Notes,AdditionalNotes
4562,2021,"05/18/21 00:00:00","North Deer Island","Northern Upland Area","116","1","1","05577","E","TRHE",0,0,0,0,0,0,0,0,1,0,"MWP","03/13/22 00:00:00","Y",,
4563,2021,"05/18/21 00:00:00","North Deer Island","Northern Upland Area","123","1","1","05734","E","TRHE",0,0,0,0,0,0,0,0,1,0,"MWP","03/13/22 00:00:00","Y",,
4564,2021,"06/20/21 00:00:00","West Nueces Bay 51W K",,"1","1","3","3541","E","LAGU",0,0,0,0,0,0,0,0,4,3,"PJC","07/21/22 00:00:00","Y",,
4565,2021,"06/20/21 00:00:00","West Nueces Bay 51W K",,"1","1","3","3541","E","BLSK",0,0,0,0,0,0,0,0,6,8,"PJC","07/21/22 00:00:00","Y",,
4566,2021,"06/20/21 00:00:00","West Nueces Bay 51W K",,"1","1","3","3541","E","GBTE",0,0,0,0,0,0,0,0,43,15,"PJC","07/21/22 00:00:00","Y",,
4567,2021,"06/20/21 00:00:00","West Nueces Bay 51W K",,"1","1","3","3541","E","FOTE",0,0,0,0,0,0,0,0,138,58,"PJC","07/21/22 00:00:00","Y",,
4568,2021,"06/20/21 00:00:00","West Nueces Bay 51W K",,"1","1","3","3541","E","BLTE",0,0,0,0,0,0,0,0,0,1,"PJC","07/21/22 00:00:00","Y",,
4569,2021,"06/20/21 00:00:00","West Nueces Bay 51W K",,"2","1","3","3539","E","FOTE",0,0,0,0,0,0,0,0,0,14,"PJC","07/21/22 00:00:00","Y",,
4570,2021,"06/20/21 00:00:00","West Nueces Bay 51W K",,"2","1","3","3539","E","BLSK",0,0,0,0,0,0,0,0,0,1,"PJC","07/21/22 00:00:00","Y",,
4571,2021,"06/20/21 00:00:00","West Nueces Bay 51W A",,"1","1","3","3599","E","LAGU",0,1,0,0,0,0,0,0,9,3,"PJC","07/22/22 00:00:00","Y",,
