source_file,record_id,year,date,colony_name,latitude,longitude,dotter,habitat,oil_present,notes,additional_notes,species_code,state,geo_region,combined_text,nests,birds,text_length,has_coordinates
colony_notes_2010,CN2010_0,2010,,Biloxi South 1,29.6873,-89.4646,PJC,,N,"BLSK colony in early stages; roosting FOTE; birds detected/counted only on the beach, nothing on grass/marsh",,,,,"Notes: BLSK colony in early stages; roosting FOTE; birds detected/counted only on the beach, nothing on grass/marsh",,,115,True
colony_notes_2010,CN2010_1,2010,,Cat Bay South Island,29.3341,-89.8716,PJC,marsh/grass island w. taller grass;some bare areas,N,"WHIB count good, TRHE and LAGU site counts likely low; TRHE on eggs, but little if any egg-laying yet for WHIB and LAGU; several hundred additional LAGU on water not counted",,,,,"Habitat: marsh/grass island w. taller grass;some bare areas | Notes: WHIB count good, TRHE and LAGU site counts likely low; TRHE on eggs, but little if any egg-laying yet for WHIB and LAGU; several hundred additional LAGU on water not counted",,,242,True
colony_notes_2010,CN2010_2,2010,,Biloxi South 11,29.5247,-89.5726,PJC,shrubs,N,coverage ~ 90%,,,,,Habitat: shrubs | Notes: coverage ~ 90%,,,39,True
colony_notes_2010,CN2010_3,2010,,Long Bay Island,29.5021,-89.5356,PJC,large marsh/grass island,N,"WHIB count good, TRHE and LAGU site counts likely low; coverage ~ 80%; some small beaches that looked like good tern habitat missed; LAGU still pairing up",,,,,"Habitat: large marsh/grass island | Notes: WHIB count good, TRHE and LAGU site counts likely low; coverage ~ 80%; some small beaches that looked like good tern habitat missed; LAGU still pairing up",,,197,True
colony_notes_2010,CN2010_4,2010,,Rabbit Island,29.8494,-93.383,PJC,huge marsh/grass island w. ponds & open water,N,"BRPE estimate good; most conspicuous groups of white waders counted, but some missed and much surface area of island not counted; TRHE/LAGU coverage no doubt low, but hard to quantify how low",,,,,"Habitat: huge marsh/grass island w. ponds & open water | Notes: BRPE estimate good; most conspicuous groups of white waders counted, but some missed and much surface area of island not counted; TRHE/LAGU coverage no doubt low, but hard to quantify how low",,,255,True
colony_notes_2010,CN2010_5,2010,,Biloxi North 30 B,29.8166,-89.3095,KKN,,N,"mostly vegetated with some open sand; BLSK, FOTE dominant, some BRPE roost",,,,,"Notes: mostly vegetated with some open sand; BLSK, FOTE dominant, some BRPE roost",,,81,True
colony_notes_2010,CN2010_6,2010,,Biloxi North 30 A,29.8191,-89.3103,KKN,,N,"mostly vegetated with some open sand: FOTE, LAGU",,,,,"Notes: mostly vegetated with some open sand: FOTE, LAGU",,,55,True
colony_notes_2010,CN2010_7,2010,,Biloxi North 32,29.763,-89.2851,KKN,,N,"open tip of vegetated point; area boomed; birds roosting; SATE, LAGU, ROYT",,,,,"Notes: open tip of vegetated point; area boomed; birds roosting; SATE, LAGU, ROYT",,,81,True
colony_notes_2010,CN2010_8,2010,,Deadman Point,29.7411,-89.3568,KKN,,N,"mostly vegetated, some open shore areas and pond areas; LAGU and BRPE dominant; screen capture for area 07 is missing but count is in database (<10 gulls)",,,,,"Notes: mostly vegetated, some open shore areas and pond areas; LAGU and BRPE dominant; screen capture for area 07 is missing but count is in database (<10 gulls)",,,161,True
colony_notes_2010,CN2010_9,2010,,Biloxi North 34,29.7439,-89.4532,KKN,,N,man-made structure and pilings,,,,,Notes: man-made structure and pilings,,,37,True
colony_notes_2010,CN2010_10,2010,,Biloxi North 25,29.9059,-89.2954,KKN,,N,"vegetated with some open shore; FOTE, LAGU and TRHE",,,,,"Notes: vegetated with some open shore; FOTE, LAGU and TRHE",,,58,True
colony_notes_2010,CN2010_11,2010,,Biloxi North 26,29.8979,-89.301,KKN,,N,mostly vegetated; TRHE,,,,,Notes: mostly vegetated; TRHE,,,29,True
colony_notes_2010,CN2010_12,2010,,Anderson Point Island,29.892,-89.3273,KKN,,N,water channel in marsh,,,,,Notes: water channel in marsh,,,29,True
colony_notes_2010,CN2010_13,2010,,White Log Lake Islands,29.8283,-89.3191,KKN,,N,water channel in marsh,,,,,Notes: water channel in marsh,,,29,True
colony_notes_2010,CN2010_14,2010,,Dry Bread Island,29.8426,-89.3064,KKN,,N,"vegetated with some open shore, channels; waders in interior areas; lots TRHE; gulls/terns roosting on shore",,,,,"Notes: vegetated with some open shore, channels; waders in interior areas; lots TRHE; gulls/terns roosting on shore",,,115,True
colony_notes_2010,CN2010_15,2010,,Biloxi North 31,29.8043,-89.2815,KKN,,N,mostly vegetetaed with some open shore and ponds; FOTE dominant,,,,,Notes: mostly vegetetaed with some open shore and ponds; FOTE dominant,,,70,True
colony_notes_2010,CN2010_16,2010,,Drum Bay Island,29.9197,-89.2627,KKN,,N,"mostly vegetated; waders dominate (TRHE, WHIB, GREG)",,,,,"Notes: mostly vegetated; waders dominate (TRHE, WHIB, GREG)",,,59,True
colony_notes_2010,CN2010_17,2010,,Biloxi North 18,29.9813,-89.2574,KKN,,N,bare tip of vegetated spit; BRPE roost,,,,,Notes: bare tip of vegetated spit; BRPE roost,,,45,True
colony_notes_2010,CN2010_18,2010,,Biloxi North 17,29.9751,-89.2762,KKN,,N,shallow/ wet marsh; gull and tern roost,,,,,Notes: shallow/ wet marsh; gull and tern roost,,,46,True
colony_notes_2010,CN2010_19,2010,,Biloxi North 16,29.9984,-89.2924,KKN,,N,shrub and grass; wader colony in shrubs (mostly WHIB),,,,,Notes: shrub and grass; wader colony in shrubs (mostly WHIB),,,60,True
colony_notes_2010,CN2010_20,2010,,Breton Island,29.4955,-89.1742,KKN,,N,"Breton Island low vegetation and dry areas, sand spits BRPE and terns dominant; 3 major areas (1. man made marshy/ dry ground enclosure 2. large open sand/dune 3.mix of sand and vegetated higher ground/ sand spits and open sand with tern colony",,,,,"Notes: Breton Island low vegetation and dry areas, sand spits BRPE and terns dominant; 3 major areas (1. man made marshy/ dry ground enclosure 2. large open sand/dune 3.mix of sand and vegetated higher ground/ sand spits and open sand with tern colony",,,251,True
colony_notes_2010,CN2010_21,2010,,Biloxi North 12,30.0271,-89.2796,KKN,,N,very small; mostly vegetated with small open sand areas,,,,,Notes: very small; mostly vegetated with small open sand areas,,,62,True
colony_notes_2010,CN2010_22,2010,,Little Mud Grass Island Northeast,29.9628,-89.3156,KKN,,N,vegetated with some open edges and wet/ shallow mudflat tern roosts,,,,,Notes: vegetated with some open edges and wet/ shallow mudflat tern roosts,,,74,True
colony_notes_2010,CN2010_23,2010,,Martin Island,29.959,-89.1984,KKN,,N,"vegetated with wide open sand edge; BLSK colony, LAGU and some BRPE, ROSA",,,,,"Notes: vegetated with wide open sand edge; BLSK colony, LAGU and some BRPE, ROSA",,,80,True
colony_notes_2010,CN2010_24,2010,,Hell Pass Coast,29.922,-89.3156,KKN,,N,"exposed rock roost, also mostly vegetated main island with sandy/rocky open edge",,,,,"Notes: exposed rock roost, also mostly vegetated main island with sandy/rocky open edge",,,87,True
colony_notes_2010,CN2010_25,2010,,Biloxi North 28,29.9168,-89.4183,KKN,,N,vegeated small island with ponds; FOTE dominant,,,,,Notes: vegeated small island with ponds; FOTE dominant,,,54,True
colony_notes_2010,CN2010_26,2010,,Biloxi Lake B 2,29.9207,-89.5374,KKN,,N,mudflat roost of gulls/terns,,,,,Notes: mudflat roost of gulls/terns,,,35,True
colony_notes_2010,CN2010_27,2010,,Turtle Pen Isle,29.9295,-89.2373,KKN,,N,small vegetated island with wide sand edge; BLSK colony,,,,,Notes: small vegetated island with wide sand edge; BLSK colony,,,62,True
colony_notes_2010,CN2010_28,2010,,New Harbor Island 1,29.8734,-88.8793,KKN,,N,isolated BRPE breeding colony next to water channel,,,,,Notes: isolated BRPE breeding colony next to water channel,,,58,True
colony_notes_2010,CN2010_29,2010,,Biloxi North 15,29.9943,-89.2162,KKN,,N,open sparsely vegetated sandy island; BLSK colony,,,,,Notes: open sparsely vegetated sandy island; BLSK colony,,,56,True
colony_notes_2010,CN2010_30,2010,,Redfish Bend,29.9679,-89.2276,KKN,,N,"sandy edges to vegetated area; LAGU dominant, some BRPE",,,,,"Notes: sandy edges to vegetated area; LAGU dominant, some BRPE",,,62,True
colony_notes_2010,CN2010_31,2010,,Cat Bay Island,29.3471,-89.867,KKN,,N,"2 smallish islands packed with GREG and BRPE, some other waders; shrubby, wet below, ponds, all nests area elevated; many BRPE and GREG chicks nesting well advanced for both species; NOTE numbers on screen captures for GEG do not match database, see notes",,,,,"Notes: 2 smallish islands packed with GREG and BRPE, some other waders; shrubby, wet below, ponds, all nests area elevated; many BRPE and GREG chicks nesting well advanced for both species; NOTE numbers on screen captures for GEG do not match database, see notes",,,262,True
colony_notes_2010,CN2010_32,2010,,Louisiana West 4,29.6407,-92.7851,SLF,,N,tern-gull intertidal roost,,,,,Notes: tern-gull intertidal roost,,,33,True
colony_notes_2010,CN2010_33,2010,,Louisiana West 5,29.6755,-92.8694,SLF,,N,tern-gull intertidal roost,,,,,Notes: tern-gull intertidal roost,,,33,True
colony_notes_2010,CN2010_34,2010,,Martin Island,29.959,-89.1983,SLF,,Y,Martin Island reshoot (see 7 May); boom washed up on beach; one oiled SATE,,,,,Notes: Martin Island reshoot (see 7 May); boom washed up on beach; one oiled SATE,,,81,True
colony_notes_2010,CN2010_35,2010,,Door Point Lagoon 1,30.0637,-89.1928,KKN,,N,large vegetated island with wide sandy edges; BRPE colony and LAGU dominant,,,,,Notes: large vegetated island with wide sandy edges; BRPE colony and LAGU dominant,,,82,True
colony_notes_2010,CN2010_36,2010,,Door Point Lagoon 2,30.067,-89.1841,KKN,,N,mostly vegetated with BRPE at edges,,,,,Notes: mostly vegetated with BRPE at edges,,,42,True
colony_notes_2010,CN2010_37,2010,,Biloxi North 7,30.0578,-89.2011,KKN,,N,mostly vegetated with BRPE at edges; many pairs and nests are largely PBN so early stages,,,,,Notes: mostly vegetated with BRPE at edges; many pairs and nests are largely PBN so early stages,,,96,True
colony_notes_2010,CN2010_38,2010,,Biloxi North 8,30.0525,-89.1944,KKN,,N,actually same island complex as above; same notes re: BRPE phenology,,,,,Notes: actually same island complex as above; same notes re: BRPE phenology,,,75,True
colony_notes_2010,CN2010_39,2010,,Biloxi North 22,29.9368,-89.2873,KKN,,N,small vegetated island with FOTE only,,,,,Notes: small vegetated island with FOTE only,,,44,True
colony_notes_2010,CN2010_40,2010,,Wine Island,29.0948,-90.6108,PJC,"sand w. patchy, low vegetation",N,"Complete coverage of breeding terns, pelicans, and gulls; small group of skimmers in OV not obviously breeding; roost counts good, but not 100%",,,,,"Habitat: sand w. patchy, low vegetation | Notes: Complete coverage of breeding terns, pelicans, and gulls; small group of skimmers in OV not obviously breeding; roost counts good, but not 100%",,,192,True
colony_notes_2010,CN2010_41,2010,,Chandeleur South A,29.8004,-88.8628,PJC,beach,N,"Small #s of terns on eggs; UNTE roosters in proprtion to SATE, ROYT, and CATE sites; few if any BLSK on eggs",,,,,"Habitat: beach | Notes: Small #s of terns on eggs; UNTE roosters in proprtion to SATE, ROYT, and CATE sites; few if any BLSK on eggs",,,132,True
colony_notes_2010,CN2010_42,2010,,Chandeleur South C,29.7808,-88.874,PJC,sand,Y,"small, unvegetated island; SATE and LAGU pairing up; BLSK also early but appear on territories; Oil apparently washing up nearby - see Camera1 294 and Camera2 4741",,,,,"Habitat: sand | Notes: small, unvegetated island; SATE and LAGU pairing up; BLSK also early but appear on territories; Oil apparently washing up nearby - see Camera1 294 and Camera2 4741",,,186,True
colony_notes_2010,CN2010_43,2010,,Raccoon Island West,29.0596,-90.9416,SLF,,N,Immediately west of Raccoon Island; coverage apparently complete; some LAGU still pairing up,,,,,Notes: Immediately west of Raccoon Island; coverage apparently complete; some LAGU still pairing up,,,99,True
colony_notes_2010,CN2010_44,2010,,Heron Island,29.4282,-91.3287,SLF,,N,"nests in trees; some likely missed lower in canopy for all spp., but coverage was good",,,,,"Notes: nests in trees; some likely missed lower in canopy for all spp., but coverage was good",,,93,True
colony_notes_2010,CN2010_45,2010,,Vermilion Bay 1,29.3141,-91.3429,SLF,,N,all birds on intertidal of sandspit,,,,,Notes: all birds on intertidal of sandspit,,,42,True
colony_notes_2010,CN2010_46,2010,,Bayou Platte Island South,29.6069,-91.8913,SLF,,N,small island within greater Marsh Island complex,,,,,Notes: small island within greater Marsh Island complex,,,55,True
colony_notes_2010,CN2010_47,2010,,Louisiana West 1,29.5776,-92.5678,SLF,,N,sandspit,,,,,Notes: sandspit,,,15,True
