"year","region","subregion","wca","group_id","colony","colony_old","latitude","longitude","species","count","notes"
1993,1,1,1,2926,lox93_102,Lox 93-103,26.506667,-80.248333,bcnh,15,""
1993,1,1,,2976,,Lox 93-017,26.405,-80.25,bcnh,2,""
1993,1,1,,3015,,Lox 93-015,26.418333,-80.246667,bcnh,7,""
1993,1,1,1,3099,lox93_106,Lox 93-106,26.443333,-80.371667,bcnh,3,""
1993,1,1,,3115,,Lox 93-105,26.446667,-80.375,bcnh,2,""
1993,1,1,,3139,,Lox 93-090,26.443333,-80.266667,bcnh,1,""
1993,1,1,,3205,,Lox 93-096,26.458333,-80.423333,bcnh,13,""
1993,1,1,,3249,,Lox 93-073,26.468333,-80.253333,bcnh,10,""
1993,1,1,,3207,,Lox 93-097,26.461667,-80.421667,caeg,5,""
1993,1,1,,2811,,Lox 93-071,26.55,-80.241667,gbhe,1,""
1993,1,1,,2830,,Lox 93-092,26.533333,-80.31,gbhe,2,""
1993,1,1,,2976,,Lox 93-017,26.405,-80.25,gbhe,1,""
1993,1,1,,2992,,Lox 93-074,26.415,-80.34,gbhe,2,""
1993,1,1,,3015,,Lox 93-015,26.418333,-80.246667,gbhe,2,""
1993,1,1,,3141,,Lox 93-014,26.446667,-80.256667,gbhe,2,""
1993,1,1,,3145,,Lox 93-006,26.445,-80.255,gbhe,1,""
1993,1,1,,3147,,Lox 93-007,26.445,-80.253333,gbhe,1,""
1993,1,1,,3147,,Lox 93-010,26.445,-80.253333,gbhe,2,""
1993,1,1,,3149,,Lox 93-003,26.446667,-80.25,gbhe,2,""
1993,1,1,,3150,,Lox 93-004,26.446667,-80.251667,gbhe,1,""
1993,1,1,,3187,,Lox 93-069,26.451667,-80.283333,gbhe,1,""
1993,1,1,,3276,,Lox 93-081,26.47,-80.346667,gbhe,2,""
1993,1,1,,3324,,Lox 93-061,26.5,-80.315,gbhe,3,""
1993,1,1,,2811,,Lox 93-071,26.55,-80.241667,lbhe,10,""
1993,1,1,,2889,,Lox 93-102,26.511667,-80.36,lbhe,37,""
1993,1,1,1,2926,lox93_102,Lox 93-103,26.506667,-80.248333,lbhe,25,""
1993,1,1,,3015,,Lox 93-015,26.418333,-80.246667,lbhe,2,""
1993,1,1,,3041,,Lox 93-060,26.428333,-80.388333,lbhe,10,""
1993,1,1,1,3099,lox93_106,Lox 93-106,26.443333,-80.371667,lbhe,220,""
1993,1,1,,3115,,Lox 93-105,26.446667,-80.375,lbhe,5,""
1993,1,1,,3139,,Lox 93-090,26.443333,-80.266667,lbhe,9,""
1993,1,1,,3187,,Lox 93-069,26.451667,-80.283333,lbhe,37,""
1993,1,1,,3205,,Lox 93-096,26.458333,-80.423333,lbhe,12,""
1993,1,1,,3249,,Lox 93-073,26.468333,-80.253333,lbhe,10,""
1993,1,1,,3258,,Lox 93-067,26.475,-80.268333,lbhe,21,""
1993,1,1,,3338,,Lox 93-083,26.503333,-80.35,lbhe,6,""
1993,1,1,,3342,,Lox 93-104,26.488333,-80.353333,lbhe,2,""
1993,1,1,,3388,,Lox 93-059,26.411667,-80.375,lbhe,10,""
1993,1,1,,3396,,Lox 93-107,26.49,-80.306667,lbhe,6,""
1993,1,1,,3207,,Lox 93-097,26.461667,-80.421667,sneg,5,""
1993,1,1,,2999,,Lox 93-093,26.416667,-80.28,whib,20,""
1993,1,1,,3032,,Lox 93-100,26.42,-80.37,whib,3,""
1993,1,1,,3041,,Lox 93-060,26.428333,-80.388333,whib,10,""
1993,1,1,,3139,,Lox 93-090,26.443333,-80.266667,whib,1,""
1993,1,1,,3144,,Lox 93-012,26.443333,-80.255,whib,11,""
1993,1,1,,3145,,Lox 93-006,26.445,-80.255,whib,8,""
1993,1,1,,3146,,Lox 93-005,26.446667,-80.255,whib,5,""
1993,1,1,,3147,,Lox 93-007,26.445,-80.253333,whib,4,""
1993,1,1,,3147,,Lox 93-013,26.445,-80.253333,whib,4,""
1993,1,1,,3150,,Lox 93-004,26.446667,-80.251667,whib,3,""
1993,1,1,,3205,,Lox 93-096,26.458333,-80.423333,whib,10,""
1993,1,1,,3388,,Lox 93-059,26.411667,-80.375,whib,10,""
1993,1,1,,3389,,Lox 93-099,26.416667,-80.378333,whib,20,""
1993,1,1,,3396,,Lox 93-107,26.49,-80.306667,whib,3,""
1993,2,2a,,2509,,2a gbh 1,26.265,-80.388333,gbhe,8,""
1993,2,2a,,2518,,2a gbh 2,26.301667,-80.36,gbhe,2,""
1993,2,2a,,2519,,2A Stub n melaleuc,26.2505,-80.427833,gbhe,7,""
1993,2,2a,,2519,,2A Stub n melaleuc,26.2505,-80.427833,gbhe,7,""
1993,2,2a,,2529,,2a gbh 3,26.251667,-80.33,gbhe,5,""
1993,2,2a,,2519,,2A Stub n melaleuc,26.2505,-80.427833,greg,20,""
1993,2,2a,,2519,,2A Stub n melaleuc,26.2505,-80.427833,greg,20,""
1993,2,2b,,2480,,2B Melaleuca,26.165,-80.348333,gbhe,2,""
1993,2,2b,,2474,,2b melaleuca,26.175,-80.34,greg,2,""
1993,2,2b,,2683,,2b unknown,25.144667,-80.381,greg,10,""
1993,2,2b,,2683,,2b unknown,25.144667,-80.381,greg,10,""
1993,3,3an,,2445,,Sample,26.150167,-80.558,gbhe,3,""
1993,3,3an,,2450,,Alley N-S,26.1635,-80.533,gbhe,2,""
1993,3,3as,,11,,3a gbh,25.769167,-80.686833,gbhe,2,""
1993,3,3as,,71,,3a GBH,25.771667,-80.820333,gbhe,2,""
1993,3,3as,,144,,3a gbh,25.7775,-80.733,gbhe,2,""
1993,3,3as,,159,,3a gbh,25.778,-80.711,gbhe,2,""
1993,3,3as,,237,,3a gbh,25.785,-80.727833,gbhe,2,""
1993,3,3as,,237,,3a gbh,25.784667,-80.7275,gbhe,2,""
1993,3,3as,,248,,3a gbh,25.782,-80.745667,gbhe,2,""
1993,3,3as,,385,,3a gbh,25.791167,-80.733333,gbhe,2,""
1993,3,3as,,861,,3a gbh,25.839167,-80.703833,gbhe,3,""
1993,3,3as,,944,,3a gbh,25.846167,-80.703167,gbhe,2,""
1993,3,3as,,944,,3a gbh,25.846667,-80.703,gbhe,2,""
1993,3,3as,,961,,3a GBH,25.845167,-80.798,gbhe,2,""
1993,3,3as,,1004,,3a gbh,25.851333,-80.684167,gbhe,2,""
1993,3,3as,,1015,,3a GBH,25.854333,-80.640833,gbhe,2,""
1993,3,3as,,1044,,3a gbh,25.863333,-80.706333,gbhe,3,""
1993,3,3as,,1044,,3a gbh,25.8635,-80.706167,gbhe,3,""
1993,3,3as,3a,1099,big_pond_ne,Big Pond NE,25.873,-80.796667,gbhe,2,""
1993,3,3as,,1116,,3a gbh,25.872833,-80.702,gbhe,2,""
1993,3,3as,,1116,,3a gbh,25.872333,-80.701833,gbhe,2,""
1993,3,3as,3a,1217,robs,Robs,25.888833,-80.8035,gbhe,1,""
1993,3,3as,,1220,,Kite Dome,25.888667,-80.795,gbhe,4,""
1993,3,3as,,1275,,3a GBH,25.896167,-80.610833,gbhe,2,""
1993,3,3as,,1307,,3a gbh,25.891667,-80.73,gbhe,2,""
1993,3,3as,,1411,,3a gbh,25.9135,-80.711167,gbhe,2,""
1993,3,3as,,1494,,3a gbh,25.917,-80.733,gbhe,2,""
1993,3,3as,,1494,,3a gbh,25.916667,-80.732833,gbhe,4,""
1993,3,3as,,1495,,3a gbh,25.9185,-80.736,gbhe,2,""
1993,3,3as,,1507,,3a gbh,25.924167,-80.693,gbhe,2,""
1993,3,3as,,1619,,3a gbh,25.9395,-80.707667,gbhe,2,""
1993,3,3as,,1844,,3a gbh,25.971,-80.701333,gbhe,2,""
1993,3,3as,,2015,,Donut Melaleuca,26.012333,-80.6085,gbhe,5,""
1993,3,3as,,2170,,3a gbh,26.053833,-80.669833,gbhe,2,""
1993,3,3as,,2272,,3a GBH,26.100833,-80.699667,gbhe,3,""
1993,3,3as,,2384,,3a GBH,26.127333,-80.711167,gbhe,2,""
1993,3,3as,,2388,,3a GBH,26.122167,-80.715167,gbhe,3,""
1993,3,3as,,2558,,Jeffs,25.911333,-80.7935,gbhe,2,""
1993,3,3as,,2715,,3a GBH,26.038333,-80.5795,gbhe,2,""
1993,3,3as,,968,,E of D/c,25.852333,-80.837833,greg,10,""
1993,3,3as,,968,,E of D/c,25.852333,-80.837833,greg,10,""
1993,3,3as,3a,1099,big_pond_ne,Big Pond NE,25.873,-80.796667,greg,3,""
1993,3,3as,,1927,john_p,John P,25.9875,-80.707,greg,2,""
1993,3,3as,,2030,new_miccosukee,Gap NE,26.015833,-80.794,greg,10,""
1993,3,3as,,2298,,Tieback east,26.1055,-80.796667,greg,1,""
1993,3,3as,3a,1099,big_pond_ne,Big Pond NE,25.873,-80.796667,lbhe,5,""
1993,3,3as,3a,1217,robs,Robs,25.888833,-80.8035,lbhe,10,""
1993,3,3as,,1328,,Outer Trail,25.901667,-80.8195,lbhe,5,""
1993,3,3as,,1328,,Outer Trail,25.901667,-80.8195,lbhe,5,""
1993,3,3as,,1475,gap_east,Gap East,25.9195,-80.799167,lbhe,45,""
1993,3,3as,3a,1802,lbh_halfway,LBH halfway,25.966167,-80.807667,lbhe,32,""
1993,3,3as,,1927,john_p,John P,25.9875,-80.707,lbhe,15,""
1993,3,3as,,2030,new_miccosukee,Gap NE,26.015833,-80.794,lbhe,65,""
1993,3,3as,,2308,,3a unknown,26.114,-80.651833,lbhe,60,""
1993,3,3as,,2404,,3a alley south,26.130167,-80.751667,lbhe,15,""
1993,3,3as,,2404,,3a alley south,26.130167,-80.751667,lbhe,15,""
1993,3,3as,3a,1099,big_pond_ne,Big Pond NE,25.873,-80.796667,sneg,20,""
1993,3,3as,3a,1217,robs,Robs,25.888833,-80.8035,sneg,25,""
1993,3,3as,,1324,,TC small,25.892333,-80.794667,sneg,2,""
1993,3,3as,,1328,,Outer Trail,25.901667,-80.8195,sneg,15,""
